period,strategy,num_assets,total_return,sharpe_ratio,max_drawdown,win_rate,crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
2020,Individual Asset,,,,,,ADA-USD,2020-01-02,2020-12-30,364 days,100.0,100.02403779614717,0.024037796147167695,461.93700072683504,0.19210186687708672,0.01601621594280005,0.09215050371489604,175 days 00:00:00,91.0,91.0,0.0,0.0,37.362637362637365,37.646848125169754,-12.855489779357782,8.82212733346941,-3.5378530319747776,3 days 04:56:28.235294117,1 days 03:22:06.315789473,1.1221964804741298,0.0002641516060128313,0.32317087185776666,0.2615703771010504,1.0762265026950044,0.47873351281327986
2020,Individual Asset,,,,,,XTZ-USD,2020-01-02,2020-12-30,364 days,100.0,100.04516967880726,0.04516967880725664,60.31153928725295,4.3382675678908384,0.44326713931560524,2.2917220015615696,142 days 00:00:00,90.0,90.0,0.0,0.0,38.88888888888889,45.43742593480737,-12.185126420499092,6.95992669128586,-3.379756247535236,3 days 00:41:08.571428571,1 days 07:25:05.454545454,1.0087334889418071,0.0005018853200806361,0.03414050100638719,0.01976408979773158,1.0071110387847186,0.05022191875975461
2021,Equal Weight Portfolio,10.0,0.37170155356248347,0.9816247830764636,-0.2829878044942652,0.418732782369146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Individual Asset,,,,,,BTC-USD,2021-01-02,2021-12-30,363 days,100.0,108.88174926885496,8.88174926885496,46.847611255066646,100.0,20.546467890939876,50.41117836273593,312 days 00:00:00,92.0,91.0,1.0,-0.1088817492688463,32.967032967032964,29.403803146768613,-13.508423751363194,6.155967935628783,-2.6348534568278548,2 days 20:48:00,1 days 07:52:07.868852459,1.0493670324277637,0.09879814305630541,0.42114280380357133,0.1771989529589149,1.0903287489114117,0.6395023969155265
2021,Individual Asset,,,,,,ETH-USD,2021-01-02,2021-12-30,363 days,100.0,235.08506118186165,135.08506118186165,379.4944295030872,100.0,39.97167870435237,40.619276420013776,241 days 00:00:00,91.0,90.0,1.0,-0.2350850611818487,40.0,57.79770492170163,-16.117233150916903,8.179999014432287,-3.302448642689054,3 days 01:19:59.999999999,1 days 05:46:40,1.3261956169945337,1.5035571804782606,1.5534878101592058,3.3529600049979136,1.3674212935693626,2.6297211112891685
2021,Individual Asset,,,,,,XRP-USD,2021-01-02,2021-12-30,363 days,100.0,100.24078977289795,0.24078977289795878,278.8089759909485,1.8223304345354123,0.14458745536208148,1.0457822457011239,243 days 00:00:00,84.0,83.0,1.0,-0.0008396490216255188,45.78313253012048,41.63764430921433,-28.64088908158256,8.85357741466788,-4.5616131129240856,2 days 13:15:47.368421052,1 days 06:24:00,1.1115544966939932,0.0029111978544528218,0.23638738011423996,0.23151860156898438,1.0650263910945135,0.31895850214455324
2021,Individual Asset,,,,,,LTC-USD,2021-01-02,2021-12-30,363 days,100.0,177.25933039200953,77.25933039200953,8.281525423351322,100.0,24.400256767668836,65.61430297953424,235 days 00:00:00,77.0,76.0,1.0,-0.1482860107421875,47.368421052631575,28.004920124961824,-35.83719145447844,8.096600399402604,-5.001528949286519,3 days 11:20:00,1 days 13:48:00,1.212508571349805,1.0185212684572589,1.127541644577543,1.1860109479819587,1.260108792872064,1.6126899822163077
2021,Individual Asset,,,,,,BCH-USD,2021-01-02,2021-12-30,363 days,100.0,65.40835318133044,-34.59164681866956,21.696787934039776,100.0,15.810857456527946,61.80381933086348,258 days 00:00:00,87.0,87.0,0.0,0.0,34.48275862068966,34.50497074279039,-21.74305949264084,6.693187635695989,-3.826546388196232,3 days 08:48:00,1 days 08:50:31.578947368,0.8424465613476739,-0.3976051358467778,-0.1425633309722607,-0.562173269714888,0.9712275064929808,-0.20223325068558198
2021,Individual Asset,,,,,,ADA-USD,2021-01-02,2021-12-30,363 days,100.0,101.22721903839708,1.2272190383970754,666.7635984444321,2.9065123565027515,0.2237531312406063,0.82751611754896,129 days 00:00:00,74.0,73.0,1.0,-0.001360414981842041,43.83561643835616,129.89639550484438,-17.794348704943523,13.495048518057079,-3.829347688707738,3 days 00:45:00,1 days 06:26:20.487804878,1.474042730840791,0.01682985552573857,1.0504928482598248,1.4912363626185283,1.2718634160826998,1.620128560342515
2021,Individual Asset,,,,,,DOT-USD,2021-01-02,2021-12-30,363 days,100.0,113.28124065780635,13.281240657806348,199.36234519604793,44.87974612857455,5.142610355377198,26.68490498864802,269 days 00:00:00,87.0,86.0,1.0,-0.02756778907775879,39.53488372093023,59.61603324737263,-38.09558386835923,11.344184934598465,-4.676025370219343,3 days 02:07:03.529411764,1 days 04:09:13.846153846,1.1691566342864987,0.15475358659167637,0.5943628257854366,0.5006238421688348,1.1483747588189497,0.8413674059278459
