crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ETH-USD,2022-01-02,2022-12-30,363 days,100.0,93.91571227529047,-6.084287724709526,-68.68488179637534,100.0,0.0,48.27377117273122,271 days,84,83,1,-0.18501867042232334,38.55421686746988,38.558999029433366,-13.418330070586007,6.030575904365789,-3.42775470357075,3 days 07:30:00,1 days 14:35:17.647058823,0.9668972980825417,-0.0710755307745452,0.1767158746598923,-0.12670986906146506,1.0371718628931135,0.26087153404619806
ETH-USD,2023-01-02,2023-12-30,363 days,100.0,169.17599368074468,69.17599368074468,88.70069113339105,100.0,0.0,21.18967951980053,236 days,83,83,0,0.0,36.144578313253014,21.787742499584432,-7.989115082796943,4.777824843712267,-1.5931452440062863,3 days 10:24:00,1 days 04:31:41.886792452,1.5983865465434957,0.8334457069969241,1.7089008332868303,3.2877690903597374,1.4637587917623793,3.0896885022414
ETH-USD,2024-01-02,2024-12-30,364 days,100.0,138.0945541499771,38.0945541499771,42.47137625490862,100.0,0.0,31.025466892503978,243 days,90,90,0,0.0,41.11111111111111,33.996098225396956,-4.96739477861684,3.9619088572249295,-1.9636713101074776,3 days 03:53:30.810810810,1 days 04:58:52.075471698,1.2964770921389925,0.4232728238886345,1.0508123966500573,1.2317964686050022,1.233517861051283,1.7919183483833099
ETH-USD,2025-01-02,2025-02-23,53 days,100.0,82.06269868746611,-17.93730131253389,-18.255885447054045,100.0,0.0,24.138215435858168,50 days,15,14,1,1.6661173071948383,21.428571428571427,5.293839443204817,-8.323835401301203,2.6970837506811733,-2.6421288906037432,2 days 16:00:00,1 days 06:32:43.636363636,0.28945757646314874,-1.4002441871234805,-2.837680221518744,-3.0810278203057955,0.5648632497925139,-3.5097592276467653
BNB-USD,2019-01-02,2019-12-30,363 days,100.0,122.53128985817018,22.531289858170187,125.37266742392102,27.32955237809126,0.0,2.0906339609803335,62 days,78,78,0,0.0,50.0,34.32829981509584,-7.88359138648734,6.938862803121894,-2.257484923075021,2 days 20:55:23.076923076,1 days 05:32:18.461538461,4.0383148551734775,0.28886269048936136,2.8344554991330164,10.84290487736311,2.2085772880973407,6.590643369966004
BNB-USD,2020-01-02,2020-12-30,364 days,100.0,114.10837720131958,14.108377201319582,192.74788648247042,24.20256972032209,0.0,4.204649369762393,212 days,93,93,0,0.0,46.236559139784944,34.44721080598887,-10.060999959974259,4.918155246418979,-2.589125045000665,3 days 00:33:29.302325581,1 days 02:24:00,2.1192877493241533,0.15170298065935034,1.8760106625490622,3.365264657210861,1.5470426920392342,3.430057825691449
BNB-USD,2021-01-02,2021-12-30,363 days,100.0,182.32602690908192,82.32602690908193,1256.9250032220036,100.0,0.0,44.94498097520203,254 days,89,89,0,0.0,46.06741573033708,96.80171969073818,-17.102198706254796,9.898070294944855,-3.7944385199524056,2 days 08:11:42.439024390,1 days 02:30:00,1.3383407612373517,0.9250115383042918,1.2175576995162831,1.845153436811716,1.389751957028291,2.163214605451693
BNB-USD,2022-01-02,2022-12-30,363 days,100.0,78.53641885765587,-21.463581142344125,-53.748445253453205,100.0,0.0,49.67079809353659,362 days,89,89,0,0.0,30.337078651685395,15.495666269667518,-15.458825009035989,5.336689511955428,-2.568337344136449,3 days 21:20:00,1 days 05:48:23.225806451,0.8066387175988439,-0.24116383306004585,-0.33052955029397574,-0.4342200630114536,0.9308904204870889,-0.46045357013571897
BNB-USD,2023-01-02,2023-12-30,363 days,100.0,120.62379259794564,20.623792597945638,29.173042986019702,100.0,0.0,30.181202479578328,340 days,95,94,1,0.0,39.361702127659576,17.525292922552353,-7.8523884364422685,3.4179788556023794,-1.8015100851722095,3 days 01:17:50.270270270,1 days 06:18:56.842105263,1.256538641953691,0.21940204891431525,0.7853766701533136,0.6874634166550706,1.1964942967737262,1.2946395609190304
BNB-USD,2024-01-02,2024-12-30,364 days,100.0,154.93199745115874,54.93199745115873,125.6128423749721,100.0,0.0,20.592268258377448,157 days,88,87,1,0.0,43.67816091954023,21.842294106700706,-8.853878063909352,3.9552924238171703,-1.8531493008320479,2 days 20:50:31.578947368,1 days 04:53:52.653061224,1.4884518235910817,0.6314022695535488,1.35303394423086,2.676658043001642,1.388104662677176,2.4618958750200624
BNB-USD,2025-01-02,2025-02-23,53 days,100.0,100.86174023135818,0.8617402313581833,-6.770065451531226,100.0,0.0,6.498616348092508,25 days,11,11,0,0.0,27.27272727272727,16.775787643057303,-2.842138301181013,6.597925421108291,-1.6547622640291693,5 days 16:00:00,2 days 06:00:00,1.1083849779307444,0.0783400210325621,0.390531826922258,0.9367048264888149,1.0717111326749722,0.6012391456062264
XRP-USD,2019-01-02,2019-12-30,363 days,100.0,99.97756334992663,-0.022436650073373116,-48.17385199950499,0.4252172315052167,0.0,0.0938711565953658,229 days,98,98,0,0.0,25.510204081632654,28.952144050308355,-8.94104774726775,5.603973359076534,-2.0632635545849944,3 days 06:43:12,1 days 04:55:53.424657534,0.9082858243137277,-0.00022894540891197062,-0.1881965161790105,-0.24033211960797105,0.9383389696416692,-0.35298506005939106
