crypto,period,start_date,end_date,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ADA-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,100.86775256850177,0.8677525685017701,666.7635984444321,2.831349335474455,0.10651716738131019,0.6730905388961693,129 days,73,72,1,-0.00016731772884028473,43.05555555555556,129.89639550484438,-17.794348704943523,13.858930753391311,-3.8293476887077382,3 days 01:32:54.193548387,1 days 06:26:20.487804878,1.668083622566471,0.012054442864314032,0.9948031623611745,1.2963402724688584,1.345418629985501,1.5489046465552976
DOT-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,106.65249039970608,6.652490399706079,199.36234519604793,47.80464875386983,2.721799588423192,11.791062622486196,230 days,90,89,1,-0.007670347301609923,37.07865168539326,59.61603324737263,-38.09558386835923,11.060160031446571,-4.567866605752297,3 days 00:43:38.181818181,1 days 04:17:08.571428571,1.1936002819098512,0.07483326682031116,0.5041459732080833,0.5674079735211602,1.1383701739908554,0.8282110086748397
LINK-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,79.80915481966609,-20.190845180333906,63.42159846826969,38.43992689451842,2.47241027469903,30.652470490724827,239 days,87,86,1,-0.0018171017635183234,45.348837209302324,30.961833959197865,-37.40153888205316,9.155865956827402,-6.654931359121001,3 days 00:36:55.384615384,1 days 06:38:17.872340425,0.6875587379187966,-0.2347561404484929,-0.8065907153560318,-0.6619353726129505,0.796387229896286,-0.9722111000460535
BNB-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,146.49769178812937,46.497691788129366,1256.9250032220036,100.0,18.29273622494412,46.057632772242904,254 days,89,89,0,0.0,43.82022471910113,96.50491797104745,-17.285096507548545,10.162481702999058,-3.9635455398715345,2 days 09:50:46.153846153,1 days 02:52:48,1.1832552252177464,0.5224459751475212,0.8892965424702083,1.0162532259523247,1.2589196095654125,1.5411151998468422
XLM-USD,2021,2021-01-01,2021-12-31,2021-01-02,2021-12-30,363 days,100.0,100.25032762742879,0.2503276274287868,109.92411272981468,0.6276319933550715,0.027908730720001832,0.1447837855191212,228 days,82,82,0,0.0,39.02439024390244,131.15219994816056,-20.662332211119352,10.32243284627346,-4.321609327241148,3 days 00:45:00,1 days 10:04:48,1.7746387920055688,0.003052775944253497,1.082766218894359,1.7385135804798173,1.3377085060540874,1.9140379843168547
BTC-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,67.55366710388084,-32.44633289611916,-64.9329195727921,100.0,14.603183528198807,45.10717692791684,276 days,84,83,1,-0.2294766201822256,33.734939759036145,17.036360875135575,-9.897487240525324,3.48772555168534,-2.371042590515798,3 days 18:00:00,1 days 12:39:16.363636363,0.7309323710905142,-0.38815489489080623,-0.7563900846630008,-0.7225495087436841,0.858624542843114,-1.057362084575829
ETH-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,81.8628647495637,-18.1371352504363,-68.68488179637534,100.0,15.35757971314774,50.23506200680632,271 days,85,84,1,-0.2432980941058247,38.095238095238095,38.320440030403944,-13.60491174051542,5.792841256006995,-3.5756341192544046,3 days 05:15:00,1 days 14:18:27.692307692,0.8979673726274061,-0.21302187090869573,-0.05647159974133607,-0.3628411719671194,0.9886981327993314,-0.08277467530416956
BNB-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,62.10448196881844,-37.89551803118156,-53.748445253453205,100.0,11.465478566639428,54.600063477815844,362 days,90,90,0,0.0,30.0,15.280170603397853,-15.643366184026956,4.979366604910216,-2.7220164987405147,3 days 18:40:00,1 days 06:05:42.857142857,0.6673209038035588,-0.4210613114575731,-0.8442902325655921,-0.6970376391481629,0.8385216932873615,-1.157252302394836
SOL-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,77.22349537588809,-22.776504624111915,-94.3984480717295,98.97805226535272,5.406259392851901,36.13775707339965,273 days,91,90,1,-0.005148314272335029,34.44444444444444,29.67716223829857,-24.971154261263028,5.439778631445083,-4.215890616410587,3 days 04:38:42.580645161,1 days 09:21:21.355932203,0.7211527863280862,-0.2530150701093288,-0.6235469589293954,-0.633309837354482,0.8646058132427233,-0.8710614443117523
ADA-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,99.97496944195245,-0.025030558047540494,-82.17480758067754,1.2821715204613486,0.060162014912083256,0.284012933681448,347 days,89,88,1,-4.938152803078899e-05,34.090909090909086,19.53477458300961,-18.650505598427934,4.914037473141746,-3.350257778487484,3 days 08:00:00,1 days 09:55:51.724137931,0.9620172311294828,-0.0002838770059035217,-0.07266467747057474,-0.0886172674456009,0.9803205292164682,-0.12204295346733465
XRP-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,99.79473106362907,-0.20526893637092644,-59.84055831128467,0.7715210998986649,0.04563807327497779,0.25767795096473584,325 days,97,96,1,-4.107759462227123e-05,25.0,43.02641698885932,-19.698570936035704,5.729278835285151,-2.6104337747673125,3 days 06:00:00,1 days 11:00:00,0.5570090590645459,-0.0021377901955864998,-1.344221689029229,-0.8009949084961052,0.7273980668008939,-1.7788920010565963
DOT-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,90.08698400237877,-9.913015997621224,-85.4581023979557,25.53795587796181,1.1913485464241877,10.22297717396702,352 days,96,95,1,0.001864532283320159,31.57894736842105,20.874432997943632,-21.32869748574378,4.50002881579346,-3.9777305777221903,2 days 23:12:00,1 days 12:11:04.615384615,0.4051426456718646,-0.10436716347267924,-1.8983870716412405,-0.9747470648660306,0.6313564591920762,-2.3196771889827907
LUNA-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-05-11,130 days,100.0,99.99988029390143,-0.00011970609857506198,13151.322998854701,0.11970624187072922,0.00011970609857505732,0.0001197060985873577,1 days,1,0,1,-0.00011970609857505732,nan,nan,nan,nan,nan,NaT,NaT,nan,nan,-1.6756169931378433,-2.807689269919866,0.0,-1.675616993137844
AVAX-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,85.60776033884814,-14.392239661151862,-90.39614718933073,83.06000785642695,3.5314912095113145,19.97764739633104,317 days,83,83,0,0.0,33.734939759036145,22.758646628698273,-30.684142598742547,5.800701588537741,-4.089318180400923,3 days 14:34:17.142857142,1 days 11:20:43.636363636,0.6880136317859801,-0.17340047784520335,-0.5032594224937614,-0.7240843987886307,0.88543616806948,-0.6804733722655081
DOGE-USD,2022,2022-01-01,2022-12-31,2022-01-02,2022-12-30,363 days,100.0,100.01694671522941,0.01694671522940342,-60.77819891631799,0.15548413902191657,0.007546978015021039,0.06433855729771121,209 days,92,92,0,0.0,26.08695652173913,102.98223551546177,-22.20659920755716,9.785009159709785,-3.1238779687501714,3 days 18:00:00,1 days 08:07:03.529411764,1.1711282454209502,0.00018420342640655847,0.2833615086526052,0.26485041368003237,1.0921542200490286,0.4471596312223828
BTC-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,180.78634349041621,80.78634349041621,152.61093777667676,100.0,26.392833315740646,18.10447924482107,219 days,91,91,0,0.0,34.065934065934066,21.951030527276448,-5.3757395984347065,4.8562589437187915,-1.3706460351455831,2 days 19:21:17.419354838,1 days 01:12:00,1.6611357861858,0.8877620163782014,1.8951361982939627,4.494861354100709,1.5665002105289605,4.184073327061083
ETH-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,139.02312079492359,39.023120794923585,88.70069113339105,100.0,19.93930160443572,30.173901801469754,288 days,86,86,0,0.0,31.3953488372093,21.565954757084867,-8.181125967714133,5.0457520327118255,-1.747875034583602,3 days 14:13:20,1 days 04:28:28.474576271,1.3227808058860273,0.45375721854562334,1.126036123310359,1.301645164955867,1.2734934570428142,1.9886757051648818
BNB-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,96.64093294095234,-3.359067059047661,29.173042986019702,100.0,13.365625548399526,42.66118025272064,344 days,95,94,1,-0.096640932940943,38.297872340425535,17.30776762962981,-8.044536048005826,3.3091566905995387,-1.9655442204255686,3 days 02:00:00,1 days 07:02:04.137931034,0.9638127297362175,-0.03470666091602814,0.047481021162823926,-0.07916466932270139,1.01040682989677,0.07204458984287386
XRP-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,100.04244071526972,0.042440715269715656,78.40575758454125,0.5991503093065201,0.02695261744768506,0.0966554028878076,173 days,88,88,0,0.0,32.95454545454545,52.40056979334261,-10.245086547351628,5.4509586341244125,-2.2372496772021746,2 days 22:20:41.379310344,1 days 02:50:50.847457627,1.1744756840758692,0.00048228085533767425,0.2096665309734696,0.44151280759691097,1.1125444853325341,0.5071813079641759
ADA-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,100.20927962442454,0.20927962442453804,137.15430241489614,0.5729160312139674,0.02955917727973054,0.09247885923691641,294 days,81,81,0,0.0,35.80246913580247,35.21344048399773,-6.94705230363669,6.9247993933806224,-2.112690353280209,3 days 16:33:06.206896551,1 days 05:32:18.461538461,1.9917001835378143,0.0025836990669696044,1.4779911654406874,2.275481059187114,1.5482656667819525,3.1589798772649096
DOGE-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,99.98071307640805,-0.019286923591950667,26.162282800894275,0.09701068677803783,0.006467471083515423,0.028951240805581317,344 days,89,89,0,0.0,38.20224719101123,16.80719965330976,-9.174920491037183,3.629534431221351,-2.289668355136718,3 days 05:38:49.411764705,1 days 06:06:32.727272727,0.666780785794248,-0.00021670700665113115,-0.8813770487840339,-0.669856517008882,0.8104768967925604,-1.1898062563878222
MATIC-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,100.15160400003877,0.15160400003877428,22.057310231049264,1.391451872135967,0.07438334822117641,0.30336994707432946,291 days,88,88,0,0.0,35.22727272727273,25.432468002142755,-8.879914161242187,6.765168776405347,-2.932369602000197,3 days 13:09:40.645161290,1 days 04:37:53.684210526,1.200813229726244,0.0017227727277133453,0.4620145695698967,0.5024885344968651,1.1255892603926712,0.785618553433783
DOT-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,100.71555774179494,0.7155577417949368,86.45946319132437,8.015879403774708,0.519787278508155,2.619609553873216,338 days,92,91,1,-0.0015786856608796711,35.16483516483517,23.252719761766404,-8.889708644819914,4.8062757519923265,-2.223833178743412,3 days 00:00:00,1 days 06:54:54.915254237,1.1620994482305496,0.007880620081932042,0.33749962168599557,0.2746647328161399,1.0930630083626467,0.5880051872562462
LTC-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,125.3272387118247,25.327238711824705,-2.0706795288548463,82.69003829986394,6.625819304242871,12.56737424866011,181 days,86,86,0,0.0,40.69767441860465,25.925038592055266,-11.392112611741732,4.53028296066306,-2.5181829091275287,3 days 09:36:00,1 days 06:07:03.529411764,1.527509227966931,0.2945027757188925,0.9829240282052012,2.0277285434914654,1.3092020598748335,1.8211526084809313
SHIB-USD,2023,2023-01-01,2023-12-31,2023-01-02,2023-12-30,363 days,100.0,99.99999852532282,-1.474677183916606e-06,24.9999971578291,1.2558708668360447e-05,3.2582205057787e-07,3.1306933150985785e-06,318 days,34,34,0,0.0,41.17647058823529,21.99999663486972,-11.300003365130278,12.718423871981887,-1.7262504627054136,3 days 01:42:51.428571428,1 days 19:12:00,0.5207392442267381,-4.337285835048842e-08,-0.6679993791798006,-0.4736338012881168,0.7071603766466201,-0.7711589881381444
BTC-USD,2024,2024-01-01,2024-12-31,2024-01-02,2024-12-30,364 days,100.0,126.94778739359164,26.94778739359164,106.06627370703912,100.0,21.565198358700364,27.671531918580154,216 days,92,92,0,0.0,32.608695652173914,26.58456016789322,-6.226073763770393,4.825120127009463,-1.7924452485751834,3 days 05:36:00,1 days 02:42:34.838709677,1.2002334905391672,0.29291073253903877,0.8561780263767504,0.976853407177691,1.198261878943223,1.49763032868942
ETH-USD,2024,2024-01-01,2024-12-31,2024-01-02,2024-12-30,364 days,100.0,99.34059516675465,-0.6594048332453468,42.47137625490862,100.0,19.410995940788045,40.90201241937766,296 days,93,93,0,0.0,36.55913978494624,33.76210212717158,-5.162427383838214,3.697062012782192,-1.9878835356973448,3 days 03:31:45.882352941,1 days 04:52:52.881355932,0.9946619205138401,-0.007090374551025347,0.16206102778838943,-0.01616571761544522,1.0319994912451467,0.26292021059152665
BNB-USD,2024,2024-01-01,2024-12-31,2024-01-02,2024-12-30,364 days,100.0,131.4597041691122,31.4597041691122,125.6128423749721,100.0,19.11254525973052,23.44040688551936,207 days,89,88,1,-0.1314597041690888,40.909090909090914,21.62045181259401,-9.045024185845438,3.9638161769964375,-1.961852439377816,2 days 23:20:00,1 days 04:36:55.384615384,1.2705316872955332,0.35899049856001475,0.9064940385408011,1.3463301940925363,1.2340303480379826,1.6132682392922975
XRP-USD,2024,2024-01-01,2024-12-31,2024-01-02,2024-12-30,364 days,100.0,101.11237101592698,1.1123710159269846,229.02025858166078,2.091704820654311,0.05507757296639083,0.15100496218792614,312 days,93,93,0,0.0,31.182795698924732,71.20505295777534,-8.99432193968474,8.94796673785436,-1.9360547953648346,2 days 21:31:02.068965517,1 days 05:37:30,3.7829392145119587,0.011960978665881555,1.8184166946122804,7.3868033536487205,2.236827872231099,5.097002078715583
