crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
ETH-USD,2024-01-02,2024-12-30,364 days,100.0,118.9364698859418,18.936469885941804,42.47137625490862,100.0,0.0,34.55586311573459,246 days,93,93,0,0.0,38.70967741935484,33.996098225396956,-4.967394778616837,3.6854980391928125,-1.8637185925365456,3 days 00:40:00,1 days 05:03:09.473684210,1.1543328196704514,0.2036179557628146,0.6574687049441642,0.5496360436952301,1.1415594529922524,1.0893338550600578
ETH-USD,2025-01-02,2025-02-23,53 days,100.0,82.03570142246178,-17.964298577538216,-18.255885447054045,100.0,0.0,24.16317270309815,50 days,16,15,1,1.6655691822709713,20.0,5.293839443204817,-8.323835401301203,2.6970837506811733,-2.433307669736681,2 days 16:00:00,1 days 06:00:00,0.28918034754454275,-1.308657850653946,-2.842888144190447,-3.0802463404135048,0.564421981230813,-3.516055028174354
BNB-USD,2019-01-02,2019-12-30,363 days,100.0,116.86121104017283,16.861211040172837,125.37266742392102,28.361068911110994,0.0,2.1566815153586796,62 days,81,81,0,0.0,48.148148148148145,24.432738260090343,-7.88359138648734,6.090363254390859,-2.223677808748882,2 days 16:00:00,1 days 05:08:34.285714285,2.97200508866367,0.20816309926139298,2.2430183167050273,7.864665572099315,1.8795573615013697,4.83462876306696
BNB-USD,2020-01-02,2020-12-30,364 days,100.0,113.82223924263522,13.82223924263522,192.74788648247042,23.84393850391038,0.0,4.079120329369794,212 days,93,93,0,0.0,46.236559139784944,34.44721080598887,-10.060999959974259,4.918155246418979,-2.589125045000665,3 days 00:33:29.302325581,1 days 02:24:00,2.132914956546678,0.14862622841543247,1.8870566577223813,3.398460865800674,1.5512238692804978,3.4528000715765947
BNB-USD,2021-01-02,2021-12-30,363 days,100.0,165.91339090505505,65.91339090505504,1256.9250032220036,100.0,0.0,45.323517098471335,254 days,91,91,0,0.0,46.15384615384615,96.80171969073818,-17.10219870625481,9.536268694564749,-3.739622709006549,2 days 05:08:34.285714285,1 days 02:26:56.326530612,1.27962892209821,0.7243229769786277,1.0783120763616791,1.4645124214212564,1.3394499350874174,1.905270600885816
BNB-USD,2022-01-02,2022-12-30,363 days,100.0,72.59920356369625,-27.400796436303747,-53.748445253453205,100.0,0.0,50.300518971402255,362 days,91,91,0,0.0,30.76923076923077,15.495666269667513,-15.458825009035989,5.10604265573449,-2.5835958604160223,3 days 15:25:42.857142857,1 days 05:42:51.428571428,0.7608949200579913,-0.3011076531461949,-0.5041565199703981,-0.5472859756821136,0.896957207671034,-0.6977213227139979
BNB-USD,2023-01-02,2023-12-30,363 days,100.0,126.67517770700299,26.67517770700299,29.173042986019702,100.0,0.0,26.850428404055236,254 days,95,94,1,0.0,39.361702127659576,17.525292922552342,-7.8523884364422685,3.4226514313465057,-1.7695623294299065,3 days 01:56:45.405405405,1 days 06:44:12.631578947,1.3401642797820335,0.2837784862447127,0.9603315876603933,0.9996233845425377,1.2456898166371349,1.6238250967092682
BNB-USD,2024-01-02,2024-12-30,364 days,100.0,151.65960819096037,51.65960819096037,125.6128423749721,100.0,0.0,19.405323777907434,157 days,91,90,1,0.0,41.11111111111111,21.8422941067007,-8.853878063909356,4.065680340535841,-1.8219020524949725,3 days 00:00:00,1 days 04:58:52.075471698,1.4353255727618235,0.5739956465662261,1.288234519121001,2.6710828695211117,1.3566268837332356,2.3216896996815386
BNB-USD,2025-01-02,2025-02-23,53 days,100.0,100.70599180135223,0.7059918013522264,-6.770065451531226,100.0,0.0,7.042928081598442,25 days,11,11,0,0.0,27.27272727272727,16.775787643057303,-2.842138301181013,6.597925421108291,-1.6547622640291668,5 days 16:00:00,2 days 06:00:00,1.0829528434367217,0.06418107285020236,0.3311078365781826,0.7048520541100588,1.0604014049485928,0.5055767333043613
XRP-USD,2019-01-02,2019-12-30,363 days,100.0,99.97684466749998,-0.02315533250002333,-48.17385199950499,0.4242998080740085,0.0,0.09483575536873254,229 days,95,95,0,0.0,26.31578947368421,28.952144050308355,-8.94104774726775,5.604763847590455,-2.1044137611935265,3 days 05:45:36,1 days 04:48:00,0.9042728180436657,-0.00024374034210550895,-0.19524482052400777,-0.2455075635337556,0.9355572386918151,-0.36609845409636405
XRP-USD,2020-01-02,2020-12-30,364 days,100.0,100.22436168085636,0.22436168085636113,12.648700186824403,0.5644424944198809,0.0,0.05563015941986278,168 days,85,85,0,0.0,38.82352941176471,109.20149094999007,-8.34231522509079,8.529606572677352,-2.1055362970659193,3 days 10:54:32.727272727,1 days 03:41:32.307692307,2.4451736147057304,0.0026395491865454255,1.4383356371550693,4.044186719722133,1.8086250260520913,3.395635630800789
XRP-USD,2021-01-02,2021-12-30,363 days,100.0,100.71147952896796,0.7114795289679514,278.8089759909485,1.808942457661995,0.0,0.4295070487066464,260 days,86,85,1,0.0,42.35294117647059,41.87952383304739,-28.469358440022578,9.51411245340913,-4.3695942671928485,2 days 15:20:00,1 days 06:51:25.714285714,1.783121021332556,0.00837034739962296,1.086276003203947,1.6656618730575554,1.4021888137949168,1.9408737633715134
XRP-USD,2022-01-02,2022-12-30,363 days,100.0,99.85461828211878,-0.14538171788122056,-59.84055831128467,0.7693014921241745,0.0,0.22342255290447394,325 days,96,95,1,0.0,27.368421052631582,43.26968667553485,-19.518089025060767,5.488129174863872,-2.4902472298292624,3 days 03:41:32.307692307,1 days 11:28:41.739130434,0.6552132809954934,-0.0015303338724339,-0.9511348344713073,-0.6542854847745131,0.7957032483776999,-1.2840022603803338
