crypto,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
XRP-USD,2023-01-02,2023-12-30,363 days,100.0,100.07992726011103,0.0799272601110341,78.40575758454125,0.5666403093425005,0.02445320995587771,0.0904841555173653,173 days,85,85,0,0.0,32.94117647058823,52.40056979334261,-10.245086547351628,5.5793135452850695,-2.2126362459617512,2 days 22:17:08.571428571,1 days 02:56:50.526315789,1.3656281753499586,0.0009403207071886294,0.346361665735843,0.8881975760446695,1.2245219580825117,0.9265980703815402
XRP-USD,2024-01-02,2024-12-30,364 days,100.0,101.1810304799479,1.181030479947908,229.02025858166078,2.1821890690551347,0.058385459343658186,0.15544797087188952,257 days,93,93,0,0.0,32.25806451612903,71.20505295777534,-8.99432193968474,8.654723088180399,-1.8851434386892598,2 days 20:00:00,1 days 05:20:00,3.9594715464392354,0.012699252472558157,1.8515156269412583,7.61858903645563,2.279304162505016,5.175729198155119
XRP-USD,2025-01-02,2025-02-23,53 days,100.0,100.11895759985293,0.11895759985292707,7.225272566818264,0.6585643579894058,0.0050191294993175125,0.014879824973289192,24 days,10,10,0,0.0,50.0,22.43960547218864,-6.329421193526369,8.37280967756422,-3.2144506844434075,2 days 19:12:00,1 days 04:48:00,4.5606077593015435,0.011895759985292716,3.018675535600046,55.25000030442685,3.264474848405866,15.78825980988152
ADA-USD,2019-01-02,2019-12-30,363 days,100.0,100.01338668091499,0.013386680914984978,-25.772237574381553,0.09077953655616487,0.005409257350131174,0.01684911696700193,201 days,93,93,0,0.0,29.03225806451613,20.572795759112513,-8.426702242643866,6.280204938413281,-2.7534080813344843,3 days 00:53:20,1 days 10:10:54.545454545,1.2558213290816618,0.00014394280553747276,0.43893764161677545,0.7988811355935309,1.1268838797954623,0.7722803427722283
ADA-USD,2020-01-02,2020-12-30,364 days,100.0,100.04432346656401,0.04432346656400696,461.93700072683504,0.18757402248753852,0.007890842080454414,0.03638519799799081,137 days,88,88,0,0.0,38.63636363636363,37.646848125169754,-12.855489779357782,8.555506295714395,-3.519011990383402,3 days 03:31:45.882352941,1 days 03:33:20,1.5782352121984484,0.0005036757564091704,0.9751127211165387,1.2215203937499395,1.3162377032363106,1.7767041843922637
ADA-USD,2021-01-02,2021-12-30,363 days,100.0,100.9556071367164,0.955607136716395,666.7635984444321,2.8270396238977913,0.10414732415505203,0.6125733741945878,129 days,73,72,1,-0.00014889800430295,44.44444444444444,129.89639550484435,-17.794348704943523,13.486445150345553,-3.9480506496711274,3 days 01:30:00,1 days 05:24:00,1.7583847784988058,0.013274389371120784,1.1093229102524933,1.5686241775349683,1.4003087605076734,1.7428769137118396
ADA-USD,2022-01-02,2022-12-30,363 days,100.0,99.87772424060641,-0.12227575939358659,-82.17480758067754,1.2728550075697775,0.060389249445581314,0.3812574961273926,347 days,89,88,1,-4.4824325062708504e-05,32.95454545454545,19.534774583009614,-18.650505598427934,5.001009070696892,-3.496570815223264,3 days 09:06:12.413793103,1 days 09:45:45.762711864,0.8358906378452639,-0.0013889878985059428,-0.3483372874850188,-0.32248294647564824,0.9078091166915003,-0.5439658078455976
ADA-USD,2023-01-02,2023-12-30,363 days,100.0,100.2091904318673,0.2091904318672958,137.15430241489614,0.5607600276373167,0.028100916781712892,0.08570382252635492,293 days,81,81,0,0.0,35.80246913580247,35.21344048399773,-6.947052303636692,6.9247993933806224,-2.112690353280209,3 days 16:33:06.206896551,1 days 05:32:18.461538461,2.060126826329099,0.002582597924287602,1.5227207272134802,2.454315354425924,1.5778248570690903,3.2830590105473583
ADA-USD,2024-01-02,2024-12-30,364 days,100.0,100.30966202957158,0.3096620295715864,41.99502509790509,0.7843095251688618,0.04127318898292563,0.1567686591496393,252 days,81,81,0,0.0,33.33333333333333,71.59897183575004,-10.277372005892351,10.67619037732212,-2.6461899700078133,4 days 00:00:00,1 days 06:39:59.999999999,1.7502582671326141,0.0038229880194022986,1.4756682686838518,1.980715217934186,1.5037957543230343,2.935034571351422
ADA-USD,2025-01-02,2025-02-23,53 days,100.0,100.04999289653732,0.049992896537312495,-19.89962236865688,0.23304571771199215,0.0023681334718650138,0.012258436445078225,24 days,14,14,0,0.0,28.57142857142857,12.424887687707836,-8.227855906941553,9.500271522575881,-2.3843394109609317,3 days 00:00:00,1 days 04:48:00,4.978259973921249,0.0035709211812366033,3.4271966935463922,28.127382873965768,2.454178901774144,9.838316379848587
SOL-USD,2020-04-11,2020-12-30,264 days,100.0,100.25923569946926,0.2592356994692542,97.65956206082134,3.583927661753366,0.10040888743542334,1.119504231842687,140 days,59,59,0,0.0,42.3728813559322,61.916384971446256,-32.51548445211155,11.873635693257334,-5.87050930532881,2 days 22:04:48,1 days 03:31:45.882352941,1.1302158902819153,0.004393825414733106,0.2959895212851543,0.32031199240982444,1.0895454404589509,0.4874594243299703
SOL-USD,2021-01-02,2021-12-30,363 days,100.0,124.23049111521748,24.23049111521748,9501.155258919936,100.0,5.169222248345245,30.665222548643996,135 days,78,78,0,0.0,47.43589743589743,44.41461125919113,-37.37155884026736,13.187938587339504,-4.89570468530408,2 days 23:21:04.864864864,1 days 02:55:36.585365853,1.316517718594371,0.3106473219899668,0.7868072575495506,0.795007676876371,1.259543926455287,1.1079389881656294
SOL-USD,2022-01-02,2022-12-30,363 days,100.0,72.89820885102016,-27.101791148979842,-94.3984480717295,100.0,5.5790679644783046,39.253627871890565,273 days,91,90,1,-0.0052396739584821715,34.44444444444444,29.67716223829857,-24.971154261263038,5.313370728889034,-4.215890616410587,3 days 03:52:15.483870967,1 days 09:21:21.355932203,0.6864422971641483,-0.3010727941669048,-0.7443009111345279,-0.6936592601954715,0.8409111204598194,-1.018415573278506
SOL-USD,2023-01-02,2023-12-30,363 days,100.0,138.73562183295286,38.73562183295285,803.4452250709197,78.54311429863006,2.707058250200887,9.850136440151926,284 days,87,87,0,0.0,34.48275862068966,39.57756727404369,-8.556984743407677,10.10939422422589,-2.904137995704307,2 days 19:12:00,1 days 03:22:06.315789473,2.4934335826941982,0.44523703256267655,1.5982094475734572,3.9579255637103334,1.7681102379828928,3.5315674899225944
SOL-USD,2024-01-02,2024-12-30,364 days,100.0,172.2134205756114,72.21342057561138,79.18193160230607,100.0,15.313047825712507,22.621247032179053,145 days,79,78,1,-0.00703477382898916,43.58974358974359,27.06922484141274,-8.636758389891268,6.059760704167407,-2.7697790882798214,3 days 08:28:14.117647058,1 days 05:27:16.363636363,1.5687337680092102,0.9259032737107751,1.5409459463844575,3.2036598322628866,1.416614976037068,2.6232975133791565
SOL-USD,2025-01-02,2025-02-23,53 days,100.0,105.53248193534927,5.532481935349271,-19.121862079059902,74.70095789172807,0.6182527508115596,5.693966932265923,36 days,10,10,0,0.0,40.0,33.41341474887345,-7.732985343693516,9.580261054712874,-3.6185962680681203,4 days 12:00:00,2 days 04:00:00,1.7701980734219604,0.5532481935349273,1.5741677804997785,7.884788705355054,1.4312843954441323,3.351805021089684
DOT-USD,2020-08-21,2020-12-30,132 days,100.0,100.56751650701435,0.5675165070143442,152.3210341776144,3.4981738679101877,0.02648765163789865,0.1889811086318522,124 days,24,24,0,0.0,41.66666666666667,37.745583705628974,-8.808877298676043,8.849022764518825,-2.3497671879140003,1 days 19:12:00,1 days 03:25:42.857142857,5.558122787019398,0.02364652112559769,1.6782979573804524,8.345493426986259,2.2659753473709645,4.969161011683716
